=============================================================
VERIFY CSV PRODUCTS DETAILED (ONE BY ONE)
Date: 2026-01-22 13:05:46
Cutoff: 2025-12-31 23:59:59
=============================================================

CSV products loaded: 790
CSV duplicate IDs encountered: 12

ID | NAMA | CSV | +BUY | -SELL | EXPECTED | DB | STATUS
52 | ANTANGIN JUNIOR | 25 | 0 | 4 | 21 | 21 | OK
807 | TOLAK ANGIN ANAK | 30 | 0 | 0 | 30 | 30 | OK
809 | TOLAK LINU | 20 | 15 | 18 | 17 | 17 | OK
51 | ANTANGIN CAIR | 113 | 36 | 81 | 68 | 68 | OK
808 | TOLAK ANGIN DEWASA | 47 | 36 | 33 | 50 | 50 | OK
832 | VEGETA HERBAL | 19 | 0 | 19 | 0 | 0 | OK
833 | VEGETA JERUK | 11 | 0 | 0 | 11 | 11 | OK
656 | PLOSA ALL VAR | 16 | 6 | 1 | 21 | 21 | OK
730 | SARI KURMA TJ | 1 | 0 | 0 | 1 | 1 | OK
494 | MADU TJ JOYBEE ALL VAR | 5 | 6 | 2 | 9 | 9 | OK
493 | MADU TJ ORI 500ML | 3 | 0 | 0 | 3 | 3 | OK
496 | MADU TJ ORI 150ML | 5 | 0 | 2 | 3 | 3 | OK
497 | MADU TJ ORI 250ML | 7 | 0 | 2 | 5 | 5 | OK
492 | MADU TJ EXTRA 250 | 3 | 0 | 0 | 3 | 3 | OK
975 | MADU TJ EXTRA 150 | 3 | 0 | 0 | 3 | 3 | OK
427 | LANCAR ASI | 1 | 0 | 1 | 0 | 0 | OK
406 | KOMIX ALL VAR | 141 | 0 | 33 | 108 | 108 | OK
116 | BORAX | 22 | 0 | 0 | 22 | 22 | OK
396 | KAPSIDA | 5 | 0 | 2 | 3 | 3 | OK
685 | PUYER 16 | 109 | 0 | 0 | 109 | 109 | OK
54 | ANTANGIN TAB | 9 | 20 | 9 | 20 | 20 | OK
11 | ADEM SARI | 11 | 0 | 0 | 11 | 11 | OK
416 | KULDON | 2 | 20 | 3 | 19 | 19 | OK
408 | KOMIX KID ALL | 64 | 0 | 5 | 59 | 59 | OK
58 | ANTIMO ANAK ALL | 3 | 0 | 3 | 0 | 0 | OK
407 | KOMIX HERBAL | 9 | 0 | 0 | 9 | 9 | OK
574 | NORIT | 2 | 0 | 0 | 2 | 2 | OK
908 | MYLANTA TAB | 4 | 10 | 2 | 12 | 12 | OK
674 | PROMAG SCH | 19 | 0 | 5 | 14 | 14 | OK
759 | SIROP INDRA | 8 | 0 | 0 | 8 | 8 | OK
304 | PROMAG HERBAL | 7 | 18 | 12 | 13 | 13 | OK
256 | ESEMAG | 17 | 0 | 10 | 7 | 7 | OK
245 | ENTROSTOP | 12 | 0 | 7 | 5 | 5 | OK
246 | ENTROSTOP ANAK | 8 | 0 | 0 | 8 | 8 | OK
661 | POLYSILANE TAB | 8 | 0 | 3 | 5 | 5 | OK
172 | COMBANTRIN SYR | 6 | 0 | 5 | 1 | 1 | OK
173 | COMBANTRIN TAB | 6 | 0 | 4 | 2 | 2 | OK
102 | BIOLYSIN KID ALL VAR | 9 | 0 | 0 | 9 | 9 | OK
281 | FITKOM ALL VAR | 4 | 0 | 2 | 2 | 2 | OK
705 | SAKA ABC ALL VAR | 10 | 0 | 3 | 7 | 7 | OK
495 | MADU TJ KURMA | 1 | 0 | 0 | 1 | 1 | OK
38 | SILADEX UNGU 60ML | 6 | 0 | 2 | 4 | 4 | OK
841 | VICKS F 44 100ml | 7 | 0 | 2 | 5 | 5 | OK
842 | VICKS F 44 27ml | 4 | 6 | 3 | 7 | 7 | OK
881 | VICKS F 44 54ML | 5 | 6 | 5 | 6 | 6 | OK
604 | OBP ITRASAL | 1 | 0 | 1 | 0 | 0 | OK
602 | OBH ITRASAL | 8 | 12 | 4 | 16 | 16 | OK
894 | ITRABAT | 14 | 0 | 2 | 12 | 12 | OK
348 | SANADRYL EXP 100ML | 2 | 0 | 0 | 2 | 2 | OK
887 | SANADRYL EXP 60ML | 3 | 0 | 1 | 2 | 2 | OK
198 | DECADRYL 120mg | 2 | 0 | 1 | 1 | 1 | OK
199 | DECADRYL 60mg | 2 | 0 | 0 | 2 | 2 | OK
553 | NELLCO SPESIAL B | 3 | 0 | 0 | 3 | 3 | OK
554 | NELLCO SPESIAL K | 3 | 0 | 0 | 3 | 3 | OK
599 | OBH COMBI DAHAK | 9 | 0 | 2 | 7 | 7 | OK
600 | OBH COMBI PLUS 100ml | 6 | 6 | 9 | 3 | 3 | OK
601 | OBH COMBI PLUS 60ml | 4 | 5 | 0 | 9 | 9 | OK
201 | DECOLSIN | 25 | 0 | 3 | 22 | 22 | OK
723 | SANGOBION S'10 | 24 | 0 | 3 | 21 | 21 | OK
635 | PARAMEX | 69 | 0 | 14 | 55 | 55 | OK
29 | AMBEVEN | 10 | 0 | 6 | 4 | 4 | OK
231 | DUMIN 500mg | 22 | 0 | 8 | 14 | 14 | OK
774 | STREPSIL | 14 | 0 | 6 | 8 | 8 | OK
871 | WOOD'S PERMEN ALL | 5 | 0 | 3 | 2 | 2 | OK
519 | MIRASIC | 40 | 0 | 0 | 40 | 40 | OK
504 | MEFINAL | 210 | 0 | 120 | 90 | 90 | OK
524 | MIXALGIN | 130 | 200 | 100 | 230 | 230 | OK
974 | MEGABAL | 40 | 0 | 30 | 10 | 10 | OK
543 | MYCORAL TAB | 64 | 0 | 30 | 34 | 34 | OK
508 | MERTIGO | 103 | 0 | 9 | 94 | 94 | OK
948 | MUCOS TAB | 20 | 0 | 0 | 20 | 20 | OK
537 | MOLACORT 0,75 | 70 | 400 | 110 | 360 | 360 | OK
567 | NEUROSANBE PLUS | 110 | 0 | 40 | 70 | 70 | OK
584 | NOVAPYRON | 200 | 0 | 10 | 190 | 190 | OK
578 | NOVAGESIC TAB | 70 | 0 | 0 | 70 | 70 | OK
564 | NEUROPYRON-V | 190 | 0 | 50 | 140 | 140 | OK
586 | NOVASTAN TAB | 130 | 0 | 60 | 70 | 70 | OK
563 | NEURODEX | 120 | 0 | 70 | 50 | 50 | OK
560 | NEURALGIN | 270 | 0 | 120 | 150 | 150 | OK
588 | NOVATRIM TAB | 200 | 0 | 0 | 200 | 200 | OK
581 | NOVAMAG TAB | 50 | 0 | 0 | 50 | 50 | OK
593 | NUFADOL TAB | 40 | 0 | 10 | 30 | 30 | OK
565 | NEUROSANBE | 50 | 0 | 10 | 40 | 40 | OK
606 | OMEDOM TAB | 140 | 0 | 30 | 110 | 110 | OK
610 | OMELLEGAR | 90 | 200 | 80 | 210 | 210 | OK
609 | OMEGZOLE | 80 | 200 | 80 | 200 | 200 | OK
623 | ORPHEN | 160 | 0 | 10 | 150 | 150 | OK
616 | OMERIC 300 | 80 | 0 | 10 | 70 | 70 | OK
611 | OMEMOX | 50 | 0 | 0 | 50 | 50 | OK
614 | OMEPROXIL | 70 | 0 | 0 | 70 | 70 | OK
608 | OMEGESIC | 140 | 200 | 40 | 300 | 300 | OK
621 | OPISTAN | 210 | 0 | 0 | 210 | 210 | OK
619 | OMETILSON | 200 | 300 | 150 | 350 | 350 | OK
615 | OMERIC 100 | 80 | 0 | 0 | 80 | 80 | OK
618 | OMEROXOL TAB | 130 | 0 | 30 | 100 | 100 | OK
692 | RHEMAFAR | 390 | 0 | 40 | 350 | 350 | OK
861 | WINATIN | 20 | 0 | 0 | 20 | 20 | OK
669 | PRIMADEX FORTE | 60 | 0 | 0 | 60 | 60 | OK
664 | PONSTELAX | 70 | 0 | 0 | 70 | 70 | OK
717 | SAMCOFENAC | 430 | 0 | 0 | 430 | 430 | OK
900 | SELVIM 10MG | 150 | 0 | 0 | 150 | 150 | OK
658 | POLOFAR PLUS | 150 | 0 | 30 | 120 | 120 | OK
795 | TEOSAL | 550 | 0 | 270 | 280 | 280 | OK
718 | SAMTACID | 100 | 0 | 0 | 100 | 100 | OK
668 | PRIMADEX | 100 | 0 | 0 | 100 | 100 | OK
694 | RENABETIC | 310 | 0 | 90 | 220 | 220 | OK
741 | SELVIM 20 | 90 | 0 | 20 | 70 | 70 | OK
764 | SOLDEXTAM | 140 | 0 | 40 | 100 | 100 | OK
776 | SULFADIASIN | 160 | 0 | 30 | 130 | 130 | OK
778 | SUPERTETRA | 14 | 20 | 19 | 15 | 15 | OK
663 | PONSTAN | 103 | 0 | 37 | 66 | 66 | OK
677 | PRONICY | 100 | 0 | 0 | 100 | 100 | OK
814 | TRANSAMIN | 100 | 0 | 10 | 90 | 90 | OK
820 | TRIOCID TAB | 170 | 0 | 50 | 120 | 120 | OK
666 | POSTINOR | 6 | 9 | 8 | 7 | 7 | OK
1001 | PARAVEN TAB | 140 | 0 | 80 | 60 | 60 | OK
662 | PONDEX F | 70 | 0 | 10 | 60 | 60 | OK
216 | DEXYCOL | 20 | 0 | 0 | 20 | 20 | OK
221 | DIONICOL | 80 | 0 | 0 | 80 | 80 | OK
247 | EPEXOL TAB | 90 | 0 | 10 | 80 | 80 | OK
239 | EMTURNAS | 80 | 0 | 20 | 60 | 60 | OK
238 | EMTURNAS FORTE | 150 | 0 | 20 | 130 | 130 | OK
264 | ETAMOX | 30 | 0 | 10 | 20 | 20 | OK
260 | ETABION | 140 | 0 | 10 | 130 | 130 | OK
285 | FLOXIGRA | 80 | 0 | 10 | 70 | 70 | OK
278 | FG TROCHES | 7 | 12 | 4 | 15 | 15 | OK
280 | FIMESTAN | 70 | 100 | 40 | 130 | 130 | OK
922 | FARSIFEN TAB | 220 | 0 | 50 | 170 | 170 | OK
275 | FAXIDEN | 180 | 0 | 40 | 140 | 140 | OK
293 | FOLAVIT | 30 | 100 | 60 | 70 | 70 | OK
964 | FLOXIFAR | 100 | 0 | 0 | 100 | 100 | OK
295 | FORMYCO TAB | 43 | 0 | 0 | 43 | 43 | OK
284 | FLAMAR | 60 | 0 | 0 | 60 | 60 | OK
277 | FENAMIN | 100 | 0 | 0 | 100 | 100 | OK
893 | FARGETIX | 40 | 0 | 0 | 40 | 40 | OK
335 | GRATAZONE | 80 | 0 | 80 | 0 | 0 | OK
336 | GRATEOS | 80 | 0 | 20 | 60 | 60 | OK
890 | GASELA | 120 | 0 | 10 | 110 | 110 | OK
986 | GENCEF 500 | 110 | 0 | 10 | 100 | 100 | OK
333 | GRAFAZOL | 30 | 0 | 0 | 30 | 30 | OK
303 | GASTRUCID TAB | 30 | 0 | 0 | 30 | 30 | OK
985 | GENXICAM 15MG | 230 | 0 | 70 | 160 | 160 | OK
323 | GLUCOSAMIN MPL | 10 | 100 | 60 | 50 | 50 | OK
324 | GLUDEPATIC | 40 | 200 | 60 | 180 | 180 | OK
332 | GRAFAMIC | 30 | 0 | 0 | 30 | 30 | OK
330 | GRAFACHLOR | 120 | 0 | 20 | 100 | 100 | OK
331 | GRAFADON | 30 | 0 | 30 | 0 | 0 | OK
951 | HISTAPAN | 10 | 0 | 0 | 10 | 10 | OK
362 | HUFAMAG TAB | 140 | 0 | 10 | 130 | 130 | OK
923 | INFLASON | 90 | 200 | 30 | 260 | 260 | OK
365 | HYSTIGO | 130 | 0 | 50 | 80 | 80 | OK
376 | INFALGIN | 80 | 0 | 30 | 50 | 50 | OK
379 | INTERHISTIN | 70 | 200 | 100 | 170 | 170 | OK
27 | HUFADEXTA-M | 20 | 0 | 10 | 10 | 10 | OK
973 | HUFRALGIN | 200 | 0 | 20 | 180 | 180 | OK
720 | HYPOFIL | 100 | 0 | 0 | 100 | 100 | OK
880 | HUFARIZINE TAB | 60 | 150 | 50 | 160 | 160 | OK
442 | LERZIN TAB | 40 | 0 | 40 | 0 | 0 | OK
913 | LOKEV | 30 | 0 | 20 | 10 | 10 | OK
457 | LOPAMID | 180 | 0 | 30 | 150 | 150 | OK
460 | LOSTACEF TAB | 100 | 0 | 10 | 90 | 90 | OK
444 | LICOKALK | 160 | 0 | 50 | 110 | 110 | OK
455 | LODIA | 100 | 0 | 50 | 50 | 50 | OK
385 | KADITIC | 370 | 0 | 200 | 170 | 170 | OK
374 | INAMID | 50 | 0 | 10 | 40 | 40 | OK
430 | LAPISTAN | 20 | 0 | 0 | 20 | 20 | OK
445 | LICOSTAN | 110 | 0 | 0 | 110 | 110 | OK
388 | KALMETASON | 240 | 600 | 480 | 360 | 360 | OK
371 | IMODIUM | 72 | 0 | 7 | 65 | 65 | OK
507 | MELOXICAM 7.5mg | 190 | 0 | 10 | 180 | 180 | OK
506 | MELOXICAM 15mg | 320 | 0 | 80 | 240 | 240 | OK
320 | GLIMEPIRID 2mg | 110 | 300 | 120 | 290 | 290 | OK
139 | CAPTOPRIL 12.5mg | 60 | 0 | 0 | 60 | 60 | OK
140 | CAPTOPRIL 25mg | 40 | 0 | 10 | 30 | 30 | OK
706 | SALBUTAMOL 2mg | 140 | 0 | 40 | 100 | 100 | OK
886 | salbutamol 4mg | 240 | 0 | 110 | 130 | 130 | OK
322 | GLIMEPIRID 4mg | 200 | 0 | 0 | 200 | 200 | OK
319 | GLIMEPIRID 1mg | 110 | 0 | 90 | 20 | 20 | OK
321 | GLIMEPIRID 3mg | 260 | 0 | 30 | 230 | 230 | OK
678 | PROPANOLOL 10mg | 100 | 0 | 0 | 100 | 100 | OK
679 | PROPANOLOL 40mg | 200 | 0 | 0 | 200 | 200 | OK
757 | SIMVASTATIN 20 | 430 | 0 | 140 | 290 | 290 | OK
667 | PREDNISON | 120 | 0 | 10 | 110 | 110 | OK
510 | METHYLPREDNISOLON 16mg | 90 | 0 | 0 | 90 | 90 | OK
511 | METHYLPREDNISOLON 4mg | 690 | 0 | 150 | 540 | 540 | OK
512 | METHYLPREDNISOLON 8mg | 320 | 0 | 120 | 200 | 200 | OK
860 | VOLTADEX | 30 | 500 | 250 | 280 | 280 | OK
671 | PRIMOLUT N | 30 | 30 | 2 | 58 | 58 | OK
834 | VENARON 300mg | 96 | 0 | 0 | 96 | 96 | OK
802 | THIAMYCIN 1000mg | 22 | 0 | 2 | 20 | 20 | OK
733 | SCOPMA PLUS | 30 | 0 | 0 | 30 | 30 | OK
779 | SUPRABIOTIK | 40 | 0 | 20 | 20 | 20 | OK
879 | YUSIMOX TABLET | 50 | 0 | 30 | 20 | 20 | OK
884 | ZYLORIC 100mg | 17 | 0 | 4 | 13 | 13 | OK
885 | ZYLORIC 300mg | 16 | 0 | 0 | 16 | 16 | OK
45 | ANASTAN | 130 | 0 | 10 | 120 | 120 | OK
21 | ALLOFAR 100MG | 90 | 0 | 0 | 90 | 90 | OK
22 | ALLOFAR 300MG | 170 | 0 | 50 | 120 | 120 | OK
36 | AMOXAN 500mg | 80 | 0 | 0 | 80 | 80 | OK
153 | ALLERON | 110 | 0 | 10 | 100 | 100 | OK
66 | ASPILET | 170 | 0 | 70 | 100 | 100 | OK
5 | ACIFAR TAB | 60 | 0 | 10 | 50 | 50 | OK
99 | BINTAMOX | 130 | 0 | 0 | 130 | 130 | OK
118 | BROADAMOX | 50 | 200 | 70 | 180 | 180 | OK
80 | BECOM C | 30 | 0 | 0 | 30 | 30 | OK
81 | BECOM ZET | 90 | 0 | 10 | 80 | 80 | OK
665 | BROMIFAR | 30 | 0 | 10 | 20 | 20 | OK
120 | BRONEX | 50 | 0 | 10 | 40 | 40 | OK
121 | BUFACARYL | 150 | 200 | 40 | 310 | 310 | OK
147 | CAVIPLEX TAB | 170 | 0 | 60 | 110 | 110 | OK
892 | CAVIPLEX CDEZ | 80 | 0 | 10 | 70 | 70 | OK
142 | CARBIDU 0,5 | 130 | 0 | 60 | 70 | 70 | OK
143 | CARBIDU 0,75 | 210 | 0 | 20 | 190 | 190 | OK
750 | CALCIFAR PLUS | 90 | 0 | 10 | 80 | 80 | OK
144 | CARGESIC 500mg | 20 | 0 | 0 | 20 | 20 | OK
145 | CATAFLAM 50mg | 45 | 0 | 35 | 10 | 10 | OK
181 | CORTIDEX | 10 | 0 | 0 | 10 | 10 | OK
225 | DOLOLICOBION | 30 | 200 | 30 | 200 | 200 | OK
211 | DEXANTA | 20 | 0 | 0 | 20 | 20 | OK
209 | DEXAMETHASONE 0,5 | 280 | 400 | 270 | 410 | 410 | OK
210 | DEXAMETHASONE 0,75 | 210 | 400 | 250 | 360 | 360 | OK
227 | DRAMAMIN | 41 | 0 | 18 | 23 | 23 | OK
196 | DANASONE | 90 | 400 | 90 | 400 | 400 | OK
214 | DEXTEEM PLUS | 350 | 600 | 550 | 400 | 400 | OK
213 | DEXTAMIN | 90 | 0 | 5 | 85 | 85 | OK
63 | ASAM MEFENAMAT 500mg | 380 | 1000 | 540 | 840 | 840 | OK
39 | AMPICILIN | 80 | 0 | 0 | 80 | 80 | OK
994 | AMOXICILIN 500mg HJ | 140 | 1200 | 670 | 670 | 670 | OK
30 | AMBROXOL | 130 | 0 | 120 | 10 | 10 | OK
55 | ANTASIDA DOEN | 460 | 0 | 170 | 290 | 290 | OK
2 | ACETHYLESISTEIN 200mg | 30 | 0 | 10 | 20 | 20 | OK
37 | AMOXICILIN PHARMA | 140 | 0 | 10 | 130 | 130 | OK
993 | ACYCLOVIR TAB | 130 | 0 | 40 | 90 | 90 | OK
875 | COTRIMOXAZOL | 30 | 0 | 10 | 20 | 20 | OK
161 | CETIRIZIN | 520 | 0 | 360 | 160 | 160 | OK
168 | CLINDAMICIN 150mg | 80 | 0 | 10 | 70 | 70 | OK
169 | CLINDAMICIN 300mg | 20 | 0 | 20 | 0 | 0 | OK
165 | CIPROFLOXACIN 500mg | 120 | 200 | 60 | 260 | 260 | OK
154 | CEFIXIM 100MG | 30 | 100 | 40 | 90 | 90 | OK
910 | CEFIXIM 200MG | 30 | 0 | 0 | 30 | 30 | OK
152 | CEFADROXIL 500mg | 70 | 200 | 20 | 250 | 250 | OK
107 | BISOPROLOL FURMATE | 20 | 0 | 0 | 20 | 20 | OK
849 | CANDESARTAN 8MG | 70 | 0 | 20 | 50 | 50 | OK
954 | GUAFINESIN | 180 | 0 | 50 | 130 | 130 | OK
316 | DOMPERIDON | 60 | 0 | 10 | 50 | 50 | OK
921 | GLUCODEX | 60 | 100 | 50 | 110 | 110 | OK
956 | GABAPENTIN 300mg | 30 | 30 | 60 | 0 | 0 | OK
299 | FUROSEMIDE | 30 | 0 | 20 | 10 | 10 | OK
366 | IBUPROFEN | 310 | 300 | 140 | 470 | 470 | OK
309 | GEMFIBROZIL | 100 | 0 | 20 | 80 | 80 | OK
839 | GRISIOFULVIN | 30 | 0 | 0 | 30 | 30 | OK
612 | OMEPRASOL | 300 | 0 | 90 | 210 | 210 | OK
428 | LANSOPRAZOLE | 80 | 100 | 90 | 90 | 90 | OK
458 | LORATADIN | 320 | 0 | 60 | 260 | 260 | OK
620 | ONDANSETRON 4mg | 50 | 0 | 10 | 40 | 40 | OK
570 | NIFEDIPIN | 180 | 0 | 0 | 180 | 180 | OK
501 | MECOBALAMIN | 80 | 0 | 20 | 60 | 60 | OK
955 | EPERISONE | 80 | 0 | 10 | 70 | 70 | OK
691 | RAVALGIN | 200 | 0 | 10 | 190 | 190 | OK
514 | METRONIDAZOL | 40 | 0 | 30 | 10 | 10 | OK
289 | FLUNARISIN 5mg | 20 | 0 | 0 | 20 | 20 | OK
865 | ONDANSETRON 8MG | 70 | 0 | 0 | 70 | 70 | OK
381 | ISDN | 210 | 0 | 20 | 190 | 190 | OK
689 | RANITIDINE | 230 | 400 | 60 | 570 | 570 | OK
318 | GLIBENCLAMIDE | 210 | 0 | 150 | 60 | 60 | OK
755 | PIROXICAM 20MG | 210 | 500 | 470 | 240 | 240 | OK
23 | ALLOPURINOL 100mg | 310 | 1000 | 600 | 710 | 710 | OK
24 | ALLOPURINOL 300mg | 230 | 200 | 130 | 300 | 300 | OK
220 | DICLOFENAC POTASIUM | 160 | 300 | 200 | 260 | 260 | OK
403 | KETOPROFEN | 30 | 0 | 0 | 30 | 30 | OK
509 | METFORMIN 500 mg | 300 | 0 | 190 | 110 | 110 | OK
33 | AMLODIPIN 10mg | 480 | 300 | 370 | 410 | 410 | OK
34 | AMLODIPIN 5mg | 740 | 0 | 370 | 370 | 370 | OK
756 | SIMVASTATIN 10 | 650 | 0 | 210 | 440 | 440 | OK
183 | COUNTERPAIN 15g | 13 | 0 | 3 | 10 | 10 | OK
184 | COUNTERPAIN 30g | 2 | 3 | 3 | 2 | 2 | OK
185 | COUNTERPAIN 5g | 5 | 6 | 2 | 9 | 9 | OK
186 | COUNTERPAIN 60g | 1 | 2 | 1 | 2 | 2 | OK
505 | VITAQUIN 2% | 2 | 0 | 0 | 2 | 2 | OK
990 | BURNAZIN SLP | 1 | 0 | 0 | 1 | 1 | OK
959 | VITAQUIN CR | 1 | 0 | 0 | 1 | 1 | OK
960 | BORRAGINOL N SLP | 1 | 0 | 0 | 1 | 1 | OK
961 | BORRAGINOL S SLP | 1 | 0 | 0 | 1 | 1 | OK
714 | SALONPAS GEL 30mg | 2 | 0 | 1 | 1 | 1 | OK
205 | DENOMIX KRIM 10g | 2 | 3 | 3 | 2 | 2 | OK
944 | NEBACETIN OINT | 1 | 0 | 0 | 1 | 1 | OK
552 | NEBACETINE POW | 3 | 0 | 0 | 3 | 3 | OK
164 | CINOLON-N | 6 | 0 | 1 | 5 | 5 | OK
704 | SAGESTAM | 4 | 0 | 3 | 1 | 1 | OK
103 | BIOPLACENTON | 3 | 6 | 7 | 2 | 2 | OK
122 | BUFACOMB IOB | 3 | 0 | 0 | 3 | 3 | OK
177 | COOLING 5 PLUS | 3 | 0 | 0 | 3 | 3 | OK
178 | COOLING 5 SPRAY | 4 | 0 | 0 | 4 | 4 | OK
392 | KANDISTATIN | 3 | 0 | 0 | 3 | 3 | OK
148 | CAZETIN | 2 | 0 | 1 | 1 | 1 | OK
13 | AKURAT | 6 | 0 | 3 | 3 | 3 | OK
516 | MICROGYNON | 17 | 4 | 16 | 5 | 5 | OK
194 | CYCLOGYNON | 3 | 0 | 1 | 2 | 2 | OK
217 | DIANE | 2 | 0 | 1 | 1 | 1 | OK
572 | PREGNACHEK | 9 | 0 | 1 | 8 | 8 | OK
904 | SENSITIF | 2 | 0 | 0 | 2 | 2 | OK
50 | ANDALAN LAKTASI | 9 | 0 | 2 | 7 | 7 | OK
48 | ANDALAN | 20 | 30 | 33 | 17 | 17 | OK
49 | ANDALAN FE | 31 | 0 | 8 | 23 | 23 | OK
701 | ROOHTO | 5 | 0 | 0 | 5 | 5 | OK
702 | ROOHTO COOL | 5 | 0 | 3 | 2 | 2 | OK
175 | INSTO COOL | 2 | 12 | 10 | 4 | 4 | OK
377 | INSTO | 7 | 0 | 2 | 5 | 5 | OK
378 | INSTO DRY EYES | 4 | 0 | 0 | 4 | 4 | OK
966 | INSTO 15ml | 2 | 0 | 1 | 1 | 1 | OK
12 | AITO | 4 | 0 | 0 | 4 | 4 | OK
313 | GENOINT TM | 6 | 0 | 2 | 4 | 4 | OK
928 | SANBE TEARS | 1 | 0 | 0 | 1 | 1 | OK
20 | ALLETROL TM | 5 | 0 | 2 | 3 | 3 | OK
251 | ERLAMYCETIN PLUS TM | 1 | 0 | 1 | 0 | 0 | OK
157 | CENDO XITROL | 5 | 0 | 1 | 4 | 4 | OK
898 | CENDO LYTERS | 4 | 0 | 1 | 3 | 3 | OK
155 | CENDO CATARLENT 15ml | 3 | 0 | 1 | 2 | 2 | OK
156 | CENDO CATARLENT 5ml | 3 | 0 | 0 | 3 | 3 | OK
249 | ERLAMICETIN SM | 2 | 3 | 3 | 2 | 2 | OK
312 | GENOINT SM | 2 | 6 | 1 | 7 | 7 | OK
854 | VITAL TT | 3 | 0 | 1 | 2 | 2 | OK
930 | SANTADEX TT | 1 | 6 | 1 | 6 | 6 | OK
135 | CALLUSOL | 1 | 3 | 2 | 2 | 2 | OK
6 | ACNOL | 3 | 0 | 0 | 3 | 3 | OK
138 | CANESTEN | 4 | 0 | 0 | 4 | 4 | OK
297 | FUNGIDREM B | 1 | 0 | 0 | 1 | 1 | OK
298 | FUNGIDREM K | 2 | 3 | 1 | 4 | 4 | OK
195 | DAKTARIN | 1 | 3 | 0 | 4 | 4 | OK
294 | FORMYCO CR | 5 | 0 | 0 | 5 | 5 | OK
91 | BETADINE OINT | 1 | 0 | 0 | 1 | 1 | OK
840 | VERIL ACNE GEL | 1 | 0 | 0 | 1 | 1 | OK
542 | MYCORAL CREAM | 1 | 3 | 0 | 4 | 4 | OK
813 | TOP CORT | 2 | 0 | 2 | 0 | 0 | OK
989 | MEBO | 1 | 0 | 0 | 1 | 1 | OK
830 | FLAMAR GEL | 3 | 0 | 0 | 3 | 3 | OK
732 | SCABIMITE K | 3 | 0 | 3 | 0 | 0 | OK
404 | KLODERMA COKLAT | 2 | 0 | 1 | 1 | 1 | OK
926 | INERSON | 3 | 0 | 1 | 2 | 2 | OK
257 | ESPERSON | 1 | 0 | 0 | 1 | 1 | OK
803 | THROMBO GEL | 3 | 0 | 1 | 2 | 2 | OK
804 | THROMBOPOB GEL | 2 | 2 | 1 | 3 | 3 | OK
502 | MEDIKLIN | 1 | 0 | 0 | 1 | 1 | OK
367 | ICHTIYOL | 14 | 0 | 3 | 11 | 11 | OK
709 | SALEP KEMBANG BULAN | 4 | 0 | 0 | 4 | 4 | OK
576 | NOSIB | 1 | 0 | 0 | 1 | 1 | OK
708 | SALEP 88 | 10 | 0 | 6 | 4 | 4 | OK
707 | SALEP 24 | 12 | 0 | 0 | 12 | 12 | OK
628 | PAGODA SALEP | 8 | 0 | 4 | 4 | 4 | OK
826 | ULTRASILIN | 4 | 0 | 0 | 4 | 4 | OK
901 | MICONAZOLE | 24 | 0 | 14 | 10 | 10 | OK
