produk_id_produk,produk_id_kategori,produk_kode_produk,produk_nama_produk,produk_merk,produk_harga_beli,produk_diskon,produk_harga_jual,produk_stok,produk_expired_date,produk_batch,produk_created_at,produk_updated_at,rekaman_id_rekaman_stok,rekaman_id_produk,rekaman_waktu,rekaman_stok_masuk,rekaman_stok_keluar,rekaman_created_at,rekaman_updated_at,rekaman_id_penjualan,rekaman_id_pembelian,rekaman_stok_awal,rekaman_stok_sisa,rekaman_keterangan
49,2,,ANDALAN FE,ANDALAN FE,9090,0,11000,31,2030-07-08,5197014,2024-01-04 16:01:31,2025-12-31 22:33:01,175439,49,2025-12-31 22:33:01,0,2,2025-12-31 22:33:01,2025-12-31 22:33:01,,,33,31,Perubahan Stok Manual: SO
50,2,,ANDALAN LAKTASI,ANDALAN LAKTASI,10385,0,13500,9,2028-02-07,,2024-01-04 16:01:31,2025-12-31 22:32:21,175437,50,2025-12-31 22:32:21,9,0,2025-12-31 22:32:21,2025-12-31 22:32:21,,,0,9,Perubahan Stok Manual: S0
51,2,,ANTANGIN CAIR,ANTANGIN CAIR,3083,0,4000,89,2027-07-03,A095G25,2024-01-04 16:01:31,2026-01-02 18:59:28,,,,,,,,,,,,
52,2,,ANTANGIN JUNIOR,ANTANGIN JUNIOR,2040,0,3000,31,2027-09-01,C003J25,2024-01-04 16:01:31,2025-12-31 22:13:03,175408,52,2025-12-31 22:13:03,0,14,2025-12-31 22:13:03,2025-12-31 22:13:03,,,46,32,Perubahan Stok Manual: SO
53,2,,ANTANGIN PERMEN,ANTANGIN PERMEN,1173,0,2000,0,,,2024-01-04 16:01:31,2024-01-04 16:01:31,,,,,,,,,,,,
54,4,,ANTANGIN TAB,ANTANGIN TAB,3210,0,4000,9,2028-05-05,BA002BE25,2024-01-04 16:01:31,2025-12-31 19:43:08,175135,54,2025-12-31 19:43:08,0,10,2025-12-31 19:43:08,2025-12-31 19:43:08,,,19,9,Perubahan Stok Manual: SO
55,5,,ANTASIDA DOEN,ANTASIDA DOEN,97,0,200,460,2028-05-12,26907505,2024-01-04 16:01:31,2025-12-31 23:30:26,175537,55,2025-12-31 23:30:26,0,10,2025-12-31 23:30:26,2025-12-31 23:30:26,,,470,460,Perubahan Stok Manual: SO
56,4,,SANAFLU,,4467,0,3000,15,,,2024-01-04 16:01:31,2025-12-31 21:14:43,175307,56,2025-12-31 21:14:43,15,0,2025-12-31 21:14:43,2025-12-31 21:14:43,,,0,15,Perubahan Stok Manual: SO
57,1,,ANTASIDA SYR FM,ANTASIDA SYR FM,4500,0,6000,8,2027-09-17,5352,2024-01-04 16:01:31,2025-12-31 19:01:38,175061,57,2025-12-31 19:01:38,1,0,2025-12-31 19:01:38,2025-12-31 19:01:38,,,8,9,Perubahan Stok Manual: SO
58,3,,ANTIMO ANAK ALL,ANTIMO ANAK,1554,0,2000,3,2026-04-06,76142020,2024-01-04 16:01:31,2025-12-31 19:41:49,175131,58,2025-12-31 19:41:49,0,10,2025-12-31 19:41:49,2025-12-31 19:41:49,,,13,3,Perubahan Stok Manual: SO
59,4,,ANTIMO TAB,ANTIMO TAB,4104,0,5500,43,2030-05-07,6002147,2024-01-04 16:01:31,2026-01-03 00:57:02,175183,59,2025-12-31 20:05:04,4,0,2025-12-31 20:05:04,2025-12-31 20:05:04,,,46,50,Perubahan Stok Manual: SO
60,4,,VITALONG C S'4,,5500,0,6500,7,2027-03-07,KPD08253,2024-01-04 16:01:31,2025-12-31 21:22:43,175324,60,2025-12-31 21:22:43,7,0,2025-12-31 21:22:43,2025-12-31 21:22:43,,,0,7,Perubahan Stok Manual: SO
61,1,,APIALYS DROP,APIALYS DROP,55361,0,64000,2,2027-08-02,A0435,2024-01-04 16:01:31,2025-12-31 18:35:30,175025,61,2025-12-31 18:35:30,1,0,2025-12-31 18:35:30,2025-12-31 18:35:30,,,1,2,Perubahan Stok Manual: SO
63,5,,ASAM MEFENAMAT 500mg,ASAM MEFENAMAT 500mg,209,0,400,1000,2027-12-01,250909120,2024-01-04 16:01:31,2026-01-03 01:40:56,175533,63,2025-12-31 23:29:08,380,0,2025-12-31 23:29:08,2025-12-31 23:29:08,,,0,380,Perubahan Stok Manual: SO
64,2,,ASEPSO ALL VAR,ASEPSO ALL VAR,7653,0,9000,12,2028-03-09,651506,2024-01-04 16:01:31,2026-01-02 01:46:05,175255,64,2025-12-31 20:49:46,0,3,2025-12-31 20:49:46,2025-12-31 20:49:46,,,9,6,Perubahan Stok Manual: SO
65,4,,ASIFIT,ASIFIT,19372,0,23000,0,,,2024-01-04 16:01:31,2024-01-04 16:01:31,,,,,,,,,,,,
66,5,,ASPILET,ASPILET,626,0,7500,170,2027-06-17,EX5A169,2024-01-04 16:01:31,2025-12-31 23:23:55,175513,66,2025-12-31 23:23:55,0,16,2025-12-31 23:23:55,2025-12-31 23:23:55,,,186,170,Perubahan Stok Manual: SO
67,4,,ATORVASTATIN,ATORVASTATIN,880,0,1200,80,2027-04-04,56C0594,2024-01-04 16:01:31,2025-12-20 17:28:03,,,,,,,,,,,,
68,4,,ARKAVIT C,,9366,0,12000,7,2028-04-03,T250323A,2024-01-04 16:01:31,2025-12-31 21:29:43,175343,68,2025-12-31 21:29:43,0,1,2025-12-31 21:29:43,2025-12-31 21:29:43,,,8,7,Perubahan Stok Manual: SO
69,2,,HANSAPLAST KOYO ALL,,8312,0,9500,17,2027-03-07,51513035,2024-01-04 16:01:31,2025-12-31 21:40:43,175357,69,2025-12-31 21:40:43,2,0,2025-12-31 21:40:43,2025-12-31 21:40:43,,,15,17,Perubahan Stok Manual: SO
70,2,,AVAIL MERAH,AVAIL MERAH,30625,0,38000,0,,,2024-01-04 16:01:31,2024-01-04 16:01:31,,,,,,,,,,,,
71,4,,B COMPLEX STRIP,,1200,0,2500,8,,,2024-01-04 16:01:31,2025-12-31 21:32:42,175350,71,2025-12-31 21:32:42,8,0,2025-12-31 21:32:42,2025-12-31 21:32:42,,,0,8,Perubahan Stok Manual: SO
72,2,,BALPIRIK MERAH,BALPIRIK MERAH,11100,0,13000,5,2030-04-08,4252004,2024-01-04 16:01:31,2025-12-31 21:24:26,175328,72,2025-12-31 21:24:26,0,1,2025-12-31 21:24:26,2025-12-31 21:24:26,,,6,5,Perubahan Stok Manual: SO
73,2,,BALSEM LANG 10g,BALSEM LANG 10g,4464,0,6000,5,2030-04-07,PK01856,2024-01-04 16:01:31,2025-12-31 21:25:21,175330,73,2025-12-31 21:25:21,2,0,2025-12-31 21:25:21,2025-12-31 21:25:21,,,3,5,Perubahan Stok Manual: SO
74,2,,BALSEM LANG 20g,BALSEM LANG 20g,8300,0,10000,3,2030-09-08,PD00653,2024-01-04 16:01:31,2025-12-31 21:25:33,175331,74,2025-12-31 21:25:33,0,4,2025-12-31 21:25:33,2025-12-31 21:25:33,,,7,3,Perubahan Stok Manual: SO
75,2,,BALSEM LANG 40g,BALSEM LANG 40g,15999,0,18500,3,2030-04-09,PK01054,2024-01-04 16:01:31,2025-12-31 21:25:45,175332,75,2025-12-31 21:25:45,1,0,2025-12-31 21:25:45,2025-12-31 21:25:45,,,2,3,Perubahan Stok Manual: SO
76,2,,BANLENG BIRU K,BANLENG BIRU K,12916,0,15000,0,,,2024-01-04 16:01:31,2024-01-04 16:01:31,,,,,,,,,,,,
77,2,,BANLENG BIRU B,BANLENG BIRU B,20833,0,24000,0,,,2024-01-04 16:01:31,2024-01-04 16:01:31,,,,,,,,,,,,
78,1,,BATUGIN ELIXIR B,BATUGIN ELIXIR B,35130,0,49000,0,,,2024-01-04 16:01:31,2024-02-01 18:01:36,,,,,,,,,,,,
79,1,,BATUGIN K,BATUGIN K,28915,0,34000,1,2027-08-02,H51218N,2024-01-04 16:01:31,2025-11-16 01:58:54,,,,,,,,,,,,
80,5,,BECOM C,BECOM C,1811,0,2200,30,2027-05-09,FE860,2024-01-04 16:01:31,2025-12-31 23:24:50,175516,80,2025-12-31 23:24:50,0,10,2025-12-31 23:24:50,2025-12-31 23:24:50,,,40,30,Perubahan Stok Manual: SO
81,5,,BECOM ZET,BECOM ZET,2397,0,2900,90,2027-07-13,FJ2289,2024-01-04 16:01:31,2025-12-31 23:25:00,175517,81,2025-12-31 23:25:00,50,0,2025-12-31 23:25:00,2025-12-31 23:25:00,,,40,90,Perubahan Stok Manual: SO
82,1,,GELIGA CAIR 60ML,,26177,0,30500,3,2029-09-09,ND00407,2024-01-04 16:01:31,2025-12-31 21:20:38,175318,82,2025-12-31 21:20:38,3,0,2025-12-31 21:20:38,2025-12-31 21:20:38,,,0,3,Perubahan Stok Manual: SO
83,6,,BENOSON,BENOSON,15073,0,18000,3,0203-01-01,LCB10454,2024-01-04 16:01:31,2025-12-09 23:51:43,,,,,,,,,,,,
84,6,,BENOSON-N 15g,BENOSON-N 15g,36985,0,43000,1,2030-03-01,LCD27154,2024-01-04 16:01:31,2025-12-21 01:05:29,,,,,,,,,,,,
85,6,,BENOSON-N 5g,BENOSON-N 5g,18303,0,22500,2,2030-07-01,LCH60854,2024-01-04 16:01:31,2025-12-31 22:25:05,175418,85,2025-12-31 22:25:05,0,1,2025-12-31 22:25:05,2025-12-31 22:25:05,,,4,3,Perubahan Stok Manual: SO
86,4,,MEXTRIL,,3028,0,4000,23,2027-02-07,G5140,2024-01-04 16:01:31,2025-12-31 21:30:28,175345,86,2025-12-31 21:30:28,0,5,2025-12-31 21:30:28,2025-12-31 21:30:28,,,28,23,Perubahan Stok Manual: SO
87,2,,BETADIN FEM,BETADIN FEM,32987,0,38000,3,2027-06-05,GB25037,2024-01-04 16:01:31,2025-12-31 20:43:32,175245,87,2025-12-31 20:43:32,1,0,2025-12-31 20:43:32,2025-12-31 20:43:32,,,2,3,Perubahan Stok Manual: SO
88,1,,BETADIN SABUN CAIR,BETADIN SABUN CAIR,37756,0,44500,4,2028-06-06,GB25013,2024-01-04 16:01:31,2025-12-31 20:43:50,175246,88,2025-12-31 20:43:50,1,0,2025-12-31 20:43:50,2025-12-31 20:43:50,,,3,4,Perubahan Stok Manual: SO
89,2,,BETADINE KUMUR B,BETADINE KUMUR B,33853,0,39000,4,2028-05-05,FB25003,2024-01-04 16:01:31,2025-12-31 20:27:00,175241,89,2025-12-31 20:27:00,0,3,2025-12-31 20:27:00,2025-12-31 20:27:00,,,7,4,Perubahan Stok Manual: SO
90,2,,BETADINE KUMUR K,BETADINE KUMUR K,22464,0,26000,2,2028-07-04,HB25018,2024-01-04 16:01:31,2025-12-31 20:26:46,175240,90,2025-12-31 20:26:46,0,1,2025-12-31 20:26:46,2025-12-31 20:26:46,,,3,2,Perubahan Stok Manual: SO
91,6,,BETADINE OINT,BETADINE OINT 10gr,22893,0,26500,1,2027-12-08,AB250009,2024-01-04 16:01:31,2025-12-16 03:58:16,,,,,,,,,,,,
92,1,,BETADINE SOL 15mL,BETADINE SOL 15mL,14294,0,16500,3,2028-04-04,EB24035,2024-01-04 16:01:31,2025-12-31 20:11:07,175203,92,2025-12-31 20:11:07,1,0,2025-12-31 20:11:07,2025-12-31 20:11:07,,,2,3,Perubahan Stok Manual: SO
93,1,,BETADINE SOL 30mL,BETADINE SOL 30mL,24415,0,28500,4,2029-03-05,DB25042,2024-01-04 16:01:31,2025-12-31 20:11:19,175204,93,2025-12-31 20:11:19,1,0,2025-12-31 20:11:19,2025-12-31 20:11:19,,,3,4,Perubahan Stok Manual: SO
94,2,,BETADINE SOL 5mL,BETADINE SOL 5mL,5770,0,7000,10,2029-01-06,BB25042,2024-01-04 16:01:31,2025-12-31 20:10:52,175202,94,2025-12-31 20:10:52,0,3,2025-12-31 20:10:52,2025-12-31 20:10:52,,,14,11,Perubahan Stok Manual: SO
95,1,,BETADINE SOL 60mL,BETADINE SOL 60mL,35530,0,41000,2,2027-06-05,,2024-01-04 16:01:31,2025-12-31 20:11:31,175205,95,2025-12-31 20:11:31,2,0,2025-12-31 20:11:31,2025-12-31 20:11:31,,,0,2,Perubahan Stok Manual: SO
96,6,,BETAMETASON,BETAMETASON,2411,0,4000,8,2026-12-01,L42515W,2024-01-04 16:01:31,2025-12-31 22:25:31,175419,96,2025-12-31 22:25:31,2,0,2025-12-31 22:25:31,2025-12-31 22:25:31,,,6,8,Perubahan Stok Manual: SO
97,6,,BETASON-N,BETASON-N,16117,0,20000,11,2027-08-01,H51503W,2024-01-04 16:01:31,2025-12-24 21:22:06,,,,,,,,,,,,
98,6,,BEVALEX,BEVALEX,12265,0,15000,2,2027-06-01,B01HU047,2024-01-04 16:01:31,2026-01-01 00:49:36,,,,,,,,,,,,
99,5,,BINTAMOX,BINTAMOX,517,0,750,130,,,2024-01-04 16:01:31,2025-12-31 23:24:23,175514,99,2025-12-31 23:24:23,130,0,2025-12-31 23:24:23,2025-12-31 23:24:23,,,0,130,Perubahan Stok Manual: SO
100,3,,FEMINAX CAIR,FEMINAX CAIR,1600,0,2500,0,2026-05-07,,2024-01-04 16:01:31,2025-12-21 00:52:39,,,,,,,,,,,,
101,4,,BIOGESIC,BIOGESIC,1800,0,2500,20,,,2024-01-04 16:01:31,2025-12-31 21:31:21,175348,101,2025-12-31 21:31:21,20,0,2025-12-31 21:31:21,2025-12-31 21:31:21,,,0,20,Perubahan Stok Manual: SO
102,2,,BIOLYSIN KID ALL VAR,BIOLYSIN KID ALL VAR,14452,0,17500,9,2027-07-11,TPH35454,2024-01-04 16:01:31,2025-12-31 19:36:02,175121,102,2025-12-31 19:36:02,4,0,2025-12-31 19:36:02,2025-12-31 19:36:02,,,5,9,Perubahan Stok Manual: SO
103,6,,BIOPLACENTON,BIOPLACENTON,24864,0,30000,1,2027-04-01,CA52113,2024-01-04 16:01:31,2025-12-31 22:28:38,175428,103,2025-12-31 22:28:38,0,4,2025-12-31 22:28:38,2025-12-31 22:28:38,,,7,3,Perubahan Stok Manual: SO
104,1,,VENTOLIN NEBUL,VENTOLINN NEBUL,17531,0,21000,7,2027-02-07,25B00,2024-01-04 16:01:31,2026-01-01 00:51:07,,,,,,,,,,,,
105,1,,BISOLVON KIDS,BISOLVON KIDS,44780,0,52000,3,2026-07-10,4070375,2024-01-04 16:01:31,2025-09-27 17:42:26,,,,,,,,,,,,
106,1,,BISOLVON EXTRA SYR,BISOLVON EXTRA SYR,47138,0,54500,2,2028-08-12,PH8302,2024-01-04 16:01:31,2025-12-31 19:11:01,175072,106,2025-12-31 19:11:01,2,0,2025-12-31 19:11:01,2025-12-31 19:11:01,,,0,2,Perubahan Stok Manual: SO
107,5,,BISOPROLOL FURMATE,BISOPROLOL FURMATE,318,0,1000,20,2028-01-05,56B4143,2024-01-04 16:01:31,2025-12-31 23:35:35,175545,107,2025-12-31 23:35:35,0,10,2025-12-31 23:35:35,2025-12-31 23:35:35,,,30,20,Perubahan Stok Manual: SO
108,4,,BODREX,BODREX,4149,0,5000,7,2030-07-07,72325,2024-01-04 16:01:31,2025-12-31 21:41:57,175359,108,2025-12-31 21:41:57,0,10,2025-12-31 21:41:57,2025-12-31 21:41:57,,,19,9,Perubahan Stok Manual: SO
109,4,,BODREX EXTRA,BODREX EXTRA,2150,0,3000,14,2028-06-09,61775,2024-01-04 16:01:31,2025-12-20 02:23:21,,,,,,,,,,,,
110,4,,BODREX FB ALL VAR,,2050,0,3000,24,2028-04-01,50015,2024-01-04 16:01:31,2025-12-31 23:10:53,175473,110,2025-12-31 23:10:53,8,0,2025-12-31 23:10:53,2025-12-31 23:10:53,,,17,25,Perubahan Stok Manual: SO
111,4,,CONTREXYN,,1008,0,1500,4,2027-02-09,20645,2024-01-04 16:01:31,2025-12-31 21:12:58,175303,111,2025-12-31 21:12:58,0,2,2025-12-31 21:12:58,2025-12-31 21:12:58,,,6,4,Perubahan Stok Manual: SO
112,4,,BODREX MIGRA,BODREX MIGRA,2249,0,3000,4,2028-06-08,70155,2024-01-04 16:01:31,2025-12-31 23:11:59,175477,112,2025-12-31 23:11:59,0,8,2025-12-31 23:11:59,2025-12-31 23:11:59,,,12,4,Perubahan Stok Manual: SO
113,2,,BODREXIN,BODREXIN,3974,0,4500,5,2027-08-06,80445,2024-01-04 16:01:31,2025-12-09 23:39:19,,,,,,,,,,,,
114,1,,BODREXIN FB PE SYR,BODREXIN FB PE SYR,12499,0,15000,1,2027-09-10,100025,2024-01-04 16:01:31,2025-12-20 01:33:37,,,,,,,,,,,,
115,4,,B1 STRIP,,1200,0,2500,24,,,2024-01-04 16:01:31,2025-12-31 21:32:08,175349,115,2025-12-31 21:32:08,24,0,2025-12-31 21:32:08,2025-12-31 21:32:08,,,0,24,Perubahan Stok Manual: SO
